Product Name,Product Code,Category
Chettinad Chicken Masala,SK002,Masalas
Kuzhambu Chilli Powder,SK008,Masalas
SPL Kuzhambu Chilli Powder,SK008A,Masalas
SPL Biryani Masala,SK007,Masalas
Chicken Masala,SK054,Masalas
Mutton Masala,SK024,Masalas
Fish Fry Masala,SK025,Masalas
SPL Chettinad Garam Masala,SK048,Masalas
SPL Pepper Chicken Masala,SK041,Masalas
SPL Fish Curry Masala,SK045,Masalas
SPL Curry Masala,SK046,Masalas
SPL Instant 65 Masala,SK059,Masalas
SPL Sambar Powder,SK033A,Masalas
SPL Avarei Sambar Powder,SK033,Masalas
SPL Rasam Powder,SK075A,Masalas
SPL Avarei Rasam Powder,SK055,Masalas
SPL Idli Chilli Powder,SK072G,Masalas
Black Sesame Idli Chilli Powder,SK022A,Masalas
SPL Chilli Powder,SK036,Masalas
SPL Kashmiri Chilli Powder,SK043,Masalas
Chilli Powder,SK030,Masalas
Coriander Powder,SK035,Masalas
Roasted Country Coriander Powder,SK050,Masalas
Roasted Pepper Powder,SK004,Masalas
Cumin Powder,SK038,Masalas
Turmeric Powder,SK032,Masalas
SPL Garlic Satha Dal Powder,SK066A,Masalas
Curry Leaves Idly Podi,SK082,Masalas
White Sesame Idli Chilli Powder,SK019,Masalas
SPL Garlic Idly Podi,SK083,Masalas
Sombu Podi,SK049,Masalas
SPL ENDO 5 Chilli Powder,SK065,Masalas
TEJA Chilli Powder,SK042,Masalas
Crushed Idli Chilli Powder,SK072H,Masalas
Oil Roasted Chilli Powder,SK065A,Masalas
GUNDU Chilli Powder,SK084,Masalas
SPL Chicken 65 Masala,SK059A,Masalas
Moringa Masala Podi,SK089,Masalas
SPL Vatha Kuzhambu Masala,SK090,Masalas
Finger Turmeric,SKMI001,Masala Ingredients
Chilli,SKMI002,Masala Ingredients
S10 Chilli,SKMI003,Masala Ingredients
ENDO 5 Chilli,SKMI004,Masala Ingredients
GUNDU Chilli,SKMI005,Masala Ingredients
Kashmiri Chilli,SKMI006,Masala Ingredients
TEJA Chilli,SKMI007,Masala Ingredients
Coriander,SKMI008,Masala Ingredients
Pepper,SKMI009,Masala Ingredients
Cumin,SKMI010,Masala Ingredients
Fennel,SKMI011,Masala Ingredients
Large Mustard,SKMI012,Masala Ingredients
Fenugreek,SKMI013,Masala Ingredients
Garlic,SKMI014,Masala Ingredients
Dry Ginger,SKMI015,Masala Ingredients
Asafoetida,SKMI016,Masala Ingredients
Salt,SKMI017,Masala Ingredients
Cowpea,SKMI018,Masala Ingredients
Red Rice,SKMI019,Masala Ingredients
Green Peas,SKMI020,Masala Ingredients
Rajma,SKMI021,Masala Ingredients
Tamarind,SKMI022,Masala Ingredients
Coconut Flower,SKMI023,Masala Ingredients
Sapaattu Rice,SKMI024,Masala Ingredients
Idli Rice,SKMI025,Masala Ingredients
Raw Rice,SKMI026,Masala Ingredients
Small Mustard,SKMI027,Masala Ingredients
Rava,SKMI028,Masala Ingredients
Maida,SKMI029,Masala Ingredients
Wheat,SKMI030,Masala Ingredients
Country Sugar,SKMI031,Masala Ingredients
Pearl Millet,SKMI032,Masala Ingredients
Ragi,SKMI033,Masala Ingredients
Black Kavuni Rice,SKMI034,Masala Ingredients
Samba Wheat,SKMI035,Masala Ingredients
Maize,SKMI036,Masala Ingredients
White Soya,SKMI037,Masala Ingredients
Pottu Kadalai,SKMI038,Masala Ingredients
White Sorghum,SKMI039,Masala Ingredients
Green Gram,SKMI040,Masala Ingredients
Almond,SKMI041,Masala Ingredients
Barley,SKMI042,Masala Ingredients
Sago,SKMI043,Masala Ingredients
Corn Flour,SKMI044,Masala Ingredients
SPL Sathu Maavu,SK058,Flour Varieties
Kadalai Maavu,SK068,Flour Varieties
